Sample,Date,DOC,DN
S01_C_C1,4/19/2022,1935,284
S01_C_C2,4/19/2022,1873,276
S01_C_C3,4/19/2022,1949,274
S01_G_C1,4/19/2022,1792,279
S01_G_C2,4/19/2022,1897,269
S01_G_C3,4/19/2022,1646,255
S01_I_C1,4/19/2022,1820,276
S01_I_C2,4/19/2022,1816,273
S01_I_C3,4/19/2022,1717,263
S01_M_C1,4/19/2022,1832,282
S01_M_C2,4/19/2022,1718,268
S01_M_C3,4/19/2022,1635,263
S01_C_C0,4/19/2022,3580,399
S01_G_C0,4/19/2022,3580,399
S01_I_C0,4/19/2022,3580,399
S01_M_C0,4/19/2022,3580,399
S02_B_C1,4/22/2022,1803,310
S02_B_C2,4/22/2022,1726,307
S02_B_C3,4/22/2022,1682,297
S02_F_C1,4/22/2022,1617,294
S02_F_C2,4/22/2022,1532,304
S02_F_C3,4/22/2022,1505,280
S02_G_C1,4/22/2022,1622,293
S02_G_C2,4/22/2022,1583,286
S02_G_C3,4/22/2022,1569,276
S02_K_C1,4/22/2022,1671,300
S02_K_C2,4/22/2022,1604,302
S02_K_C3,4/22/2022,1583,291
S02_B_C0,4/22/2022,3416,418
S02_F_C0,4/22/2022,3416,418
S02_G_C0,4/22/2022,3416,418
S02_K_C0,4/22/2022,3416,418
S03_B_C1,4/25/2022,1858,721
S03_B_C2,4/25/2022,1813,706
S03_B_C3,4/25/2022,1762,711
S03_H_C1,4/25/2022,1708,718
S03_H_C2,4/25/2022,1697,707
S03_H_C3,4/25/2022,1651,708
S03_M_C1,4/25/2022,1860,724
S03_M_C2,4/25/2022,1755,705
S03_M_C3,4/25/2022,1708,714
S03_P_C1,4/25/2022,1827,717
S03_P_C2,4/25/2022,1825,713
S03_P_C3,4/25/2022,1631,705
S03_B_C0,4/25/2022,3496,775
S03_H_C0,4/25/2022,3496,775
S03_M_C0,4/25/2022,3496,775
S03_P_C0,4/25/2022,3496,775
S04_C_C1,4/27/2022,1834,714
S04_C_C2,4/27/2022,1864,716
S04_C_C3,4/27/2022,1678,700
S04_F_C1,4/27/2022,1700,703
S04_F_C2,4/27/2022,1537,695
S04_F_C3,4/27/2022,1431,727
S04_K_C1,4/27/2022,1628,713
S04_K_C2,4/27/2022,1577,693
S04_K_C3,4/27/2022,1479,687
S04_L_C1,4/27/2022,1921,731
S04_L_C2,4/27/2022,1812,719
S04_L_C3,4/27/2022,1699,703
S04_C_C0,4/27/2022,3422,766
S04_F_C0,4/27/2022,3422,766
S04_K_C0,4/27/2022,3422,766
S04_L_C0,4/27/2022,3422,766
S05_A_C1,5/3/2022,1654,662
S05_A_C2,5/3/2022,3386,648
S05_A_C3,5/3/2022,3036,627
S05_D_C1,5/3/2022,3512,649
S05_D_C2,5/3/2022,3251,646
S05_D_C3,5/3/2022,3112,633
S05_N_C1,5/3/2022,3280,642
S05_N_C2,5/3/2022,3153,633
S05_N_C3,5/3/2022,2807,623
S05_O_C1,5/3/2022,3191,637
S05_O_C2,5/3/2022,2039,639
S05_O_C3,5/3/2022,2811,622
S05_A_C0,5/3/2022,3997,712
S05_D_C0,5/3/2022,3997,712
S05_N_C0,5/3/2022,3997,712
S05_O_C0,5/3/2022,3997,712
S06_B_C1,5/3/2022,15253,798
S06_B_C2,5/3/2022,3822,768
S06_B_C3,5/3/2022,3523,766
S06_E_C1,5/3/2022,3741,764
S06_E_C2,5/3/2022,3676,747
S06_E_C3,5/3/2022,3374,750
S06_I_C1,5/3/2022,3198,776
S06_I_C2,5/3/2022,2963,759
S06_I_C3,5/3/2022,3311,754
S06_P_C1,5/3/2022,3373,766
S06_P_C2,5/3/2022,3420,767
S06_P_C3,5/3/2022,3262,749
S06_B_C0,5/3/2022,4826,818
S06_E_C0,5/3/2022,4826,818
S06_I_C0,5/3/2022,4826,818
S06_P_C0,5/3/2022,4826,818
S07_A_C2,5/6/2022,1581,784
S07_A_C3,5/6/2022,1575,741
S07_F_C1,5/6/2022,2109,755
S07_F_C2,5/6/2022,1542,750
S07_F_C3,5/6/2022,1502,742
S07_G_C1,5/6/2022,1856,747
S07_G_C2,5/6/2022,1973,757
S07_G_C3,5/6/2022,1535,745
S07_M_C1,5/6/2022,2093,759
S07_M_C2,5/6/2022,1801,746
S07_M_C3,5/6/2022,1517,726
S07_A_C0,5/6/2022,3557,813
S07_F_C0,5/6/2022,3557,813
S07_G_C0,5/6/2022,3557,813
S07_M_C0,5/6/2022,3557,813
S08_A_C1,5/9/2022,2025,795.2
S08_A_C2,5/9/2022,1503,842.6
S08_A_C3,5/9/2022,1502,831.6
S08_B_C1,5/9/2022,1578,802.3
S08_B_C2,5/9/2022,1517,837.8
S08_B_C3,5/9/2022,1570,830.2
S08_C_C1,5/9/2022,1668,791.9
S08_C_C2,5/9/2022,1540,836.6
S08_C_C3,5/9/2022,1518,837.8
S08_D_C1,5/9/2022,1586,801.6
S08_D_C2,5/9/2022,1575,845.6
S08_D_C3,5/9/2022,1513,836.2
S08_E_C1,5/9/2022,2138,801.1
S08_E_C2,5/9/2022,1518,849.4
S08_E_C3,5/9/2022,1471,824.2
S08_F_C1,5/9/2022,1558,793.1
S08_F_C2,5/9/2022,1417,819.9
S08_F_C3,5/9/2022,1514,830.1
S08_G_C1,5/9/2022,1583,796.4
S08_G_C2,5/9/2022,1800,836.7
S08_G_C3,5/9/2022,1513,860.8
S08_H_C1,5/9/2022,1637,806.6
S08_H_C2,5/9/2022,1436,853.8
S08_H_C3,5/9/2022,1410,844.2
S08_I_C1,5/9/2022,1668,803.2
S08_I_C2,5/9/2022,1626,839.2
S08_I_C3,5/9/2022,1404,836.9
S08_J_C1,5/9/2022,1792,817
S08_J_C2,5/9/2022,1774,841.4
S08_J_C3,5/9/2022,1777,840.9
S08_K_C1,5/9/2022,1859,813.1
S08_K_C2,5/9/2022,1726,847
S08_K_C3,5/9/2022,1793,831.5
S08_L_C1,5/9/2022,1818,809.9
S08_L_C2,5/9/2022,1503,854.2
S08_L_C3,5/9/2022,1539,829.2
S08_M_C1,5/9/2022,1578,797.8
S08_M_C2,5/9/2022,1483,861.6
S08_M_C3,5/9/2022,1456,829.3
S08_N_C1,5/9/2022,1877,789.1
S08_N_C2,5/9/2022,1425,827
S08_N_C3,5/9/2022,1528,815
S08_O_C1,5/9/2022,1541,802.3
S08_O_C2,5/9/2022,1672,827.2
S08_O_C3,5/9/2022,1530,831.3
S08_P_C1,5/9/2022,1384,789.8
S08_P_C2,5/9/2022,2120,827
S08_P_C3,5/9/2022,2016,819.5
S08_A_C0,5/9/2022,3338,831.7
S08_B_C0,5/9/2022,3338,831.7
S08_C_C0,5/9/2022,3338,831.7
S08_D_C0,5/9/2022,3338,831.7
S08_E_C0,5/9/2022,3338,831.7
S08_F_C0,5/9/2022,3338,831.7
S08_G_C0,5/9/2022,3338,831.7
S08_H_C0,5/9/2022,3338,831.7
S08_I_C0,5/9/2022,3338,831.7
S08_J_C0,5/9/2022,3338,831.7
S08_K_C0,5/9/2022,3338,831.7
S08_L_C0,5/9/2022,3338,831.7
S08_M_C0,5/9/2022,3338,831.7
S08_N_C0,5/9/2022,3338,831.7
S08_O_C0,5/9/2022,3338,831.7
S08_P_C0,5/9/2022,3338,831.7
S10_D_C1,5/10/2022,1896,783.9
S10_D_C2,5/10/2022,1949,763.4
S10_D_C3,5/10/2022,1706,761.1
S10_H_C1,5/10/2022,1499,783.5
S10_H_C2,5/10/2022,1908,762.3
S10_H_C3,5/10/2022,1580,785
S10_K_C1,5/10/2022,1619,801.9
S10_K_C2,5/10/2022,1848,765.1
S10_K_C3,5/10/2022,1473,761.8
S10_M_C1,5/10/2022,2134,771.4
S10_M_C2,5/10/2022,2379,763.4
S10_M_C3,5/10/2022,2089,766.5
S10_D_C0,5/10/2022,3357,812.4
S10_H_C0,5/10/2022,3357,812.4
S10_K_C0,5/10/2022,3357,812.4
S10_M_C0,5/10/2022,3357,812.4
S11_C_C1,5/11/2022,2081,765.6
S11_C_C2,5/11/2022,1812,755.7
S11_C_C3,5/11/2022,1459,769.3
S11_G_C1,5/11/2022,2099,735.2
S11_G_C2,5/11/2022,1747,745.4
S11_G_C3,5/11/2022,1494,757.6
S11_N_C1,5/11/2022,1988,741.1
S11_N_C2,5/11/2022,1600,735.7
S11_N_C3,5/11/2022,1408,761
S11_P_C1,5/11/2022,2058,752
S11_P_C2,5/11/2022,1729,738.4
S11_P_C3,5/11/2022,1418,754
S11_C_C0,5/11/2022,2971,801.1
S11_P_C0,5/11/2022,2971,801.1
S11_G_C0,5/11/2022,2971,801.1
S11_N_C0,5/11/2022,2971,801.1
S12_B_C1,5/12/2022,2311,681
S12_B_C2,5/12/2022,1846,661.9
S12_B_C3,5/12/2022,1344,672.8
S12_E_C1,5/12/2022,1668,670.4
S12_E_C2,5/12/2022,1825,666.9
S12_E_C3,5/12/2022,1654,675.9
S12_I_C1,5/12/2022,2154,704.4
S12_I_C2,5/12/2022,1952,676.8
S12_I_C3,5/12/2022,1707,689.4
S12_L_C1,5/12/2022,2382,698.3
S12_L_C2,5/12/2022,2146,682.2
S12_L_C3,5/12/2022,1856,693.2
S12_B_C0,5/12/2022,3821,772.8
S12_E_C0,5/12/2022,3821,772.8
S12_I_C0,5/12/2022,3821,772.8
S12_L_C0,5/12/2022,3821,772.8
S13_A_C1,5/13/2022,1686,685.6
S13_A_C2,5/13/2022,1607,665.1
S13_A_C3,5/13/2022,1432,665.6
S13_B_C1,5/13/2022,1578,666.3
S13_B_C2,5/13/2022,2419,666
S13_B_C3,5/13/2022,1338,678.9
S13_C_C1,5/13/2022,1625,679.9
S13_C_C2,5/13/2022,1629,665.4
S13_C_C3,5/13/2022,2011,697.5
S13_E_C1,5/13/2022,1578,670.1
S13_E_C2,5/13/2022,1446,663.1
S13_E_C3,5/13/2022,1859,687.2
S13_F_C1,5/13/2022,1557,664.9
S13_F_C2,5/13/2022,1536,659.4
S13_F_C3,5/13/2022,1485,676.7
